"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"V58","27-Aug",84,90,89,88,90,91,84,90,88,86,88,88,80,83,89,95,90,86,88,85,75,74
"V59","28-Aug",86,90,90,90,92,81,82,91,90,86,90,88,86,75,87,95,80,90,91,83,74,73
"V60","29-Aug",88,91,93,91,92,86,82,89,87,85,90,89,89,86,84,93,86,92,92,81,75,74
"V61","30-Aug",84,91,93,91,88,81,78,88,88,85,88,89,89,79,85,90,80,87,88,74,72,72
"V62","31-Aug",82,88,91,84,87,82,77,89,87,85,80,86,88,79,89,92,89,90,89,84,78,77
"V63","1-Sep",80,88,87,88,79,80,84,88,82,85,85,84,81,71,90,95,91,90,90,87,78,77
"V64","2-Sep",73,91,84,91,81,75,84,86,80,88,86,83,85,78,91,96,89,84,90,90,77,76
"V65","3-Sep",87,93,77,84,82,73,89,87,81,87,85,88,83,79,92,95,85,90,92,89,76,76
"V66","4-Sep",84,81,90,93,87,81,95,87,82,85,88,91,85,83,84,80,77,89,82,92,73,72
"V67","5-Sep",87,81,91,96,81,90,93,84,84,81,83,89,88,83,85,78,85,89,89,87,73,73
"V68","6-Sep",89,82,89,96,66,88,91,73,81,81,85,85,87,85,90,75,85,88,91,85,74,73
"V69","7-Sep",89,86,90,91,66,87,88,75,86,83,80,86,89,84,91,69,92,88,90,85,74,73
"V70","8-Sep",89,88,89,91,75,86,87,81,73,85,83,88,90,87,93,73,88,91,84,84,73,73
"V71","9-Sep",91,84,79,77,80,86,91,82,84,86,83,89,88,84,92,81,83,90,84,87,75,74
"V72","10-Sep",84,80,78,87,82,89,95,79,84,84,85,89,87,80,94,84,84,89,86,85,75,75
"V73","11-Sep",86,82,81,87,84,87,95,80,84,84,84,89,83,75,96,86,83,89,90,86,76,76
"V74","12-Sep",88,86,84,87,86,84,90,81,81,86,82,86,87,81,89,87,81,90,92,78,75,74
"V75","13-Sep",78,87,89,86,87,84,75,84,79,88,70,85,86,80,86,89,81,87,86,75,74,73
"V76","14-Sep",79,87,87,87,86,86,78,82,79,88,80,81,88,82,91,92,83,82,78,77,74,73
"V77","15-Sep",86,88,87,89,80,77,91,82,73,91,82,82,79,79,91,86,87,84,80,80,75,75
"V78","16-Sep",82,88,88,81,75,77,88,81,75,88,83,76,80,82,89,72,86,89,86,79,74,74
"V79","17-Sep",82,90,87,81,73,81,86,81,80,86,85,78,69,73,95,79,83,79,86,83,73,72
"V80","18-Sep",78,88,82,82,73,81,81,81,79,88,85,79,82,80,93,77,79,78,85,83,72,71
"V81","19-Sep",79,91,80,79,84,82,80,84,78,90,79,82,81,74,92,77,81,84,84,87,73,73
"V82","20-Sep",79,95,82,68,87,84,86,87,73,90,73,81,79,81,96,82,79,86,83,89,74,73
"V83","21-Sep",78,89,82,79,77,86,84,82,75,90,75,78,75,79,95,86,85,73,87,77,70,70
"V84","22-Sep",81,70,88,72,73,87,77,75,80,86,82,86,84,84,92,80,87,82,82,76,71,71
"V85","23-Sep",84,80,84,75,81,88,82,81,84,87,86,83,82,83,91,83,81,82,77,81,72,71
"V86","24-Sep",84,82,81,78,84,69,73,80,82,88,84,89,78,85,88,82,78,71,78,74,68,68
